Месяц выдачи кредита;Сумма кредита;Срок кредита;Возраст клиента;;Пол клиента;Образование клиента;Тип товара;Наличие детей у клиента;Регион выдачи кредита;Доход клиента;Семейное положение;Оператор связи;Является ли клиентом банка;Флаг дефолта по кредиту
1;15500;10;25;ЛОЖЬ;Женский;Среднее;Бытовая техника;Детей нет;Другие регионы;19000;Другое;Мегафон;Клиент банка;Дефолт
1;15000;6;33;ЛОЖЬ;Женский;Среднее специальное;Мебель;Дети есть;Другие регионы;14000;Другое;Билайн;Не клиент банка;Нет дефолта
1;84500;18;40;ИСТИНА;Мужской;Среднее специальное;Туризм и отдых;Дети есть;Другие регионы;61000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
1;22000;9;19;ЛОЖЬ;Мужской;Неоконченное высшее;Мобильные телефоны;Детей нет;Москва или МО;21000;Другое;Мегафон;Клиент банка;Нет дефолта
1;24000;6;49;ЛОЖЬ;Мужской;Высшее;Одежда, изделия из меха и кожи;Детей нет;Другие регионы;31000;Женат/замужем;Теле2;Клиент банка;Нет дефолта
1;9000;6;49;ЛОЖЬ;Женский;Среднее;Мобильные телефоны;Детей нет;Другие регионы;31000;Другое;МТС;Клиент банка;Нет дефолта
1;35000;12;42;ЛОЖЬ;Мужской;Высшее;Мебель;Дети есть;Другие регионы;11000;Женат/замужем;МТС;Клиент банка;Нет дефолта
1;8000;6;24;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;16000;Женат/замужем;Мегафон;Клиент банка;Нет дефолта
1;15500;12;21;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;51000;Другое;МТС;Не клиент банка;Нет дефолта
1;23500;10;69;ЛОЖЬ;Мужской;Высшее;Медицинские услуги;Детей нет;Санкт-Петербург или ЛО;16000;Другое;МТС;Клиент банка;Нет дефолта
1;36000;18;32;ЛОЖЬ;Мужской;Высшее;Одежда, изделия из меха и кожи;Детей нет;Другие регионы;36000;Другое;МТС;Клиент банка;Дефолт
1;34500;12;43;ИСТИНА;Женский;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;81000;Никогда не был(а) женат/замужем;Мегафон;Клиент банка;Нет дефолта
1;5000;10;39;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;31000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
1;9500;4;27;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;31000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
1;29000;12;29;ЛОЖЬ;Женский;Высшее;Бытовая техника;Детей нет;Другие регионы;46000;Другое;Мегафон;Клиент банка;Нет дефолта
1;17000;12;39;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;21000;Женат/замужем;Билайн;Клиент банка;Нет дефолта
1;50000;18;23;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;21000;Другое;МТС;Клиент банка;Дефолт
1;11500;4;37;ЛОЖЬ;Женский;Среднее;Бытовая техника;Дети есть;Другие регионы;20000;Другое;Билайн;Клиент банка;Нет дефолта
1;34500;15;39;ЛОЖЬ;Мужской;Высшее;Бытовая техника;Дети есть;Другие регионы;46000;Женат/замужем;МТС;Не клиент банка;Нет дефолта
1;12000;10;26;ЛОЖЬ;Мужской;Высшее;Бытовая техника;Детей нет;Другие регионы;26000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
1;10500;10;49;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Детей нет;Москва или МО;16000;Другое;Мегафон;Клиент банка;Нет дефолта
1;25000;6;42;ЛОЖЬ;Женский;Среднее специальное;Аудио, Видео, Фото;Детей нет;Москва или МО;31000;Другое;Мегафон;Не клиент банка;Нет дефолта
1;31000;12;34;ИСТИНА;Женский;Высшее;Компьютеры, комплектующие;Детей нет;Москва или МО;71000;Другое;Билайн;Клиент банка;Нет дефолта
1;20500;12;26;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;26000;Другое;Билайн;Клиент банка;Нет дефолта
1;6000;3;31;ЛОЖЬ;Мужской;Среднее специальное;Компьютеры, комплектующие;Детей нет;Другие регионы;26000;Другое;Мегафон;Не клиент банка;Нет дефолта
1;9000;6;31;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;36000;Женат/замужем;МТС;Клиент банка;Нет дефолта
1;43000;6;22;ЛОЖЬ;Мужской;Неоконченное высшее;Одежда, изделия из меха и кожи;Детей нет;Москва или МО;31000;Другое;Теле2;Клиент банка;Нет дефолта
1;8000;12;31;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;20000;Другое;Мегафон;Клиент банка;Нет дефолта
1;14000;6;24;ЛОЖЬ;Женский;Неоконченное высшее;Компьютеры, комплектующие;Детей нет;Москва или МО;36000;Другое;Теле2;Клиент банка;Нет дефолта
1;22500;18;42;ЛОЖЬ;Мужской;Среднее специальное;Мебель;Детей нет;Другие регионы;13000;Другое;Мегафон;Клиент банка;Нет дефолта
1;17500;6;35;ЛОЖЬ;Женский;Высшее;Мобильные телефоны;Детей нет;Другие регионы;39000;Другое;Билайн;Клиент банка;Нет дефолта
1;17500;12;20;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;16000;Другое;МТС;Клиент банка;Нет дефолта
1;29500;12;35;ЛОЖЬ;Женский;Среднее;Мобильные телефоны;Детей нет;Другие регионы;26000;Другое;МТС;Клиент банка;Нет дефолта
1;50000;18;20;ЛОЖЬ;Мужской;Среднее специальное;Ювелирные украшения;Детей нет;Другие регионы;21000;Другое;МТС;Клиент банка;Дефолт
1;31500;18;22;ЛОЖЬ;Мужской;Среднее;Бытовая техника;Дети есть;Другие регионы;26000;Женат/замужем;Мегафон;Клиент банка;Нет дефолта
1;37000;15;32;ЛОЖЬ;Мужской;Высшее;Мебель;Дети есть;Другие регионы;36000;Другое;МТС;Клиент банка;Дефолт
1;17000;12;25;ЛОЖЬ;Мужской;Среднее специальное;Фитнес;Детей нет;Другие регионы;26000;Другое;МТС;Клиент банка;Нет дефолта
1;11000;6;47;ЛОЖЬ;Женский;Среднее специальное;Ювелирные украшения;Дети есть;Другие регионы;31000;Другое;Мегафон;Клиент банка;Дефолт
1;19500;24;23;ИСТИНА;Мужской;Высшее;Бытовая техника;Детей нет;Другие регионы;28000;Другое;Билайн;Клиент банка;Нет дефолта
1;41000;15;40;ЛОЖЬ;Мужской;Высшее;Туризм и отдых;Дети есть;Другие регионы;26000;Женат/замужем;МТС;Клиент банка;Нет дефолта
1;11000;6;19;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;21000;Другое;МТС;Клиент банка;Нет дефолта
1;31000;12;28;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;21000;Другое;Мегафон;Клиент банка;Дефолт
1;28000;12;23;ЛОЖЬ;Мужской;Высшее;Мобильные телефоны;Детей нет;Москва или МО;30000;Другое;Мегафон;Клиент банка;Нет дефолта
1;20500;12;37;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Дети есть;Москва или МО;21000;Другое;МТС;Клиент банка;Нет дефолта
1;79000;15;23;ИСТИНА;Мужской;Среднее специальное;Туризм и отдых;Детей нет;Другие регионы;46000;Женат/замужем;Билайн;Клиент банка;Нет дефолта
1;25000;6;31;ЛОЖЬ;Женский;Среднее специальное;Компьютеры, комплектующие;Дети есть;Другие регионы;41000;Женат/замужем;МТС;Не клиент банка;Нет дефолта
1;116000;18;33;ИСТИНА;Женский;Высшее;Одежда, изделия из меха и кожи;Дети есть;Другие регионы;36000;Женат/замужем;Теле2;Клиент банка;Нет дефолта
1;18500;6;32;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;31000;Другое;Мегафон;Клиент банка;Нет дефолта
1;41000;18;46;ЛОЖЬ;Мужской;Среднее специальное;Косметика и косметические услуги;Детей нет;Москва или МО;41000;Другое;Теле2;Клиент банка;Нет дефолта
1;10000;24;23;ИСТИНА;Мужской;Неоконченное высшее;Компьютеры, комплектующие;Детей нет;Другие регионы;21000;Женат/замужем;Мегафон;Не клиент банка;Дефолт
1;8000;3;53;ЛОЖЬ;Мужской;Высшее;Компьютеры, комплектующие;Детей нет;Другие регионы;19000;Другое;Теле2;Клиент банка;Нет дефолта
1;26500;18;24;ЛОЖЬ;Мужской;Среднее;Мобильные телефоны;Детей нет;Другие регионы;26000;Другое;Мегафон;Клиент банка;Нет дефолта
1;36000;10;35;ЛОЖЬ;Мужской;Высшее;Мебель;Дети есть;Другие регионы;31000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
1;29000;18;29;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;31000;Другое;МТС;Клиент банка;Дефолт
1;21000;18;34;ЛОЖЬ;Мужской;Высшее;Мобильные телефоны;Детей нет;Другие регионы;26000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
1;31000;12;25;ЛОЖЬ;Мужской;Высшее;Мобильные телефоны;Детей нет;Москва или МО;36000;Женат/замужем;Теле2;Клиент банка;Нет дефолта
1;14500;9;20;ЛОЖЬ;Мужской;Неоконченное высшее;Бытовая техника;Детей нет;Другие регионы;16000;Женат/замужем;МТС;Клиент банка;Нет дефолта
1;20000;12;29;ЛОЖЬ;Женский;Среднее;Мобильные телефоны;Дети есть;Другие регионы;21000;Другое;МТС;Клиент банка;Дефолт
1;13500;12;64;ЛОЖЬ;Мужской;Высшее;Окна, двери;Детей нет;Другие регионы;26000;Другое;Мегафон;Клиент банка;Нет дефолта
1;6500;6;34;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;26000;Женат/замужем;МТС;Не клиент банка;Дефолт
1;26000;12;26;ЛОЖЬ;Женский;Среднее специальное;Компьютеры, комплектующие;Детей нет;Другие регионы;16000;Женат/замужем;Билайн;Клиент банка;Нет дефолта
1;8000;6;27;ЛОЖЬ;Мужской;Среднее;Мобильные телефоны;Детей нет;Санкт-Петербург или ЛО;21000;Женат/замужем;МТС;Клиент банка;Нет дефолта
1;48000;24;54;ИСТИНА;Женский;Высшее;Бытовая техника;Дети есть;Москва или МО;26000;Другое;Мегафон;Не клиент банка;Нет дефолта
1;30500;24;27;ИСТИНА;Женский;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;26000;Другое;Билайн;Не клиент банка;Нет дефолта
1;31500;6;39;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Москва или МО;42000;Женат/замужем;Мегафон;Клиент банка;Нет дефолта
1;29500;18;21;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;23000;Другое;Мегафон;Не клиент банка;Дефолт
1;53500;18;47;ЛОЖЬ;Мужской;Высшее;Медицинские услуги;Детей нет;Москва или МО;21000;Другое;Мегафон;Клиент банка;Нет дефолта
1;37000;10;64;ЛОЖЬ;Мужской;Высшее;Одежда, изделия из меха и кожи;Детей нет;Москва или МО;51000;Другое;Мегафон;Клиент банка;Нет дефолта
1;43000;15;25;ЛОЖЬ;Мужской;Среднее специальное;Туризм и отдых;Детей нет;Другие регионы;29000;Другое;Билайн;Клиент банка;Нет дефолта
1;18000;12;22;ЛОЖЬ;Мужской;Среднее;Мобильные телефоны;Дети есть;Другие регионы;19000;Другое;МТС;Клиент банка;Дефолт
1;30000;12;26;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;41000;Другое;Билайн;Не клиент банка;Нет дефолта
1;26500;14;23;ЛОЖЬ;Мужской;Высшее;Бытовая техника;Детей нет;Другие регионы;29000;Другое;Мегафон;Не клиент банка;Дефолт
1;35500;12;30;ЛОЖЬ;Мужской;Высшее;Мобильные телефоны;Детей нет;Москва или МО;51000;Другое;Билайн;Клиент банка;Нет дефолта
1;17500;10;36;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;31000;Другое;МТС;Не клиент банка;Дефолт
1;10500;10;22;ЛОЖЬ;Женский;Среднее специальное;Компьютеры, комплектующие;Детей нет;Другие регионы;21000;Другое;Билайн;Клиент банка;Нет дефолта
2;16000;6;21;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;21000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
2;8500;6;53;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;36000;Женат/замужем;Билайн;Не клиент банка;Нет дефолта
2;14500;4;29;ЛОЖЬ;Мужской;Среднее специальное;Компьютеры, комплектующие;Дети есть;Другие регионы;9000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
2;31000;10;64;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;10000;Другое;Мегафон;Клиент банка;Нет дефолта
2;13500;6;64;ЛОЖЬ;Мужской;Среднее специальное;Строительные материалы и инструменты;Дети есть;Другие регионы;13000;Другое;Мегафон;Клиент банка;Нет дефолта
2;15000;12;32;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;21000;Другое;Теле2;Клиент банка;Нет дефолта
2;9500;6;31;ЛОЖЬ;Женский;Среднее;Мобильные телефоны;Дети есть;Другие регионы;14000;Другое;МТС;Клиент банка;Нет дефолта
2;35500;12;23;ЛОЖЬ;Женский;Высшее;Фитнес;Детей нет;Москва или МО;41000;Другое;Мегафон;Клиент банка;Нет дефолта
2;11000;6;40;ЛОЖЬ;Мужской;Высшее;Мебель;Дети есть;Другие регионы;26000;Другое;Мегафон;Клиент банка;Нет дефолта
2;34000;12;36;ЛОЖЬ;Мужской;Высшее;Мобильные телефоны;Дети есть;Другие регионы;24000;Другое;Мегафон;Клиент банка;Дефолт
2;11000;3;29;ЛОЖЬ;Женский;Среднее специальное;Мебель;Детей нет;Санкт-Петербург или ЛО;31000;Другое;Мегафон;Клиент банка;Нет дефолта
2;20500;5;29;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;26000;Другое;Мегафон;Не клиент банка;Нет дефолта
2;9000;5;76;ИСТИНА;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;19000;Другое;МТС;Клиент банка;Нет дефолта
