Месяц выдачи кредита;Сумма кредита;Срок кредита;Возраст клиента;;Пол клиента;Образование клиента;Тип товара;Наличие детей у клиента;Регион выдачи кредита;Доход клиента;Семейное положение;Оператор связи;Является ли клиентом банка;Флаг дефолта по кредиту
3;6000;6;54;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;16000;Другое;МТС;Клиент банка;Дефолт
3;39000;24;30;ИСТИНА;Мужской;Высшее;Бытовая техника;Дети есть;Другие регионы;31000;Другое;Теле2;Клиент банка;Нет дефолта
3;30000;12;21;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;21000;Другое;МТС;Клиент банка;Нет дефолта
3;7500;10;25;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;31000;Другое;Мегафон;Клиент банка;Нет дефолта
3;9500;6;58;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;21000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
3;21000;6;31;ЛОЖЬ;Мужской;Высшее;Бытовая техника;Дети есть;Москва или МО;31000;Другое;Теле2;Клиент банка;Нет дефолта
3;20000;4;28;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;51000;Никогда не был(а) женат/замужем;Другой;Клиент банка;Нет дефолта
3;39000;18;50;ЛОЖЬ;Женский;Среднее специальное;Мототехника (лодки, мото);Детей нет;Другие регионы;33000;Другое;Мегафон;Не клиент банка;Нет дефолта
3;109000;24;43;ИСТИНА;Женский;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;36000;Другое;Мегафон;Клиент банка;Нет дефолта
3;31500;10;53;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;36000;Женат/замужем;Билайн;Клиент банка;Нет дефолта
3;27000;12;55;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;33000;Другое;Мегафон;Клиент банка;Нет дефолта
3;14000;12;24;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;16000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
3;43000;12;30;ЛОЖЬ;Мужской;Высшее;Мебель;Дети есть;Другие регионы;21000;Другое;Теле2;Клиент банка;Нет дефолта
3;21000;6;29;ЛОЖЬ;Женский;Высшее;Мебель;Детей нет;Санкт-Петербург или ЛО;31000;Другое;Мегафон;Не клиент банка;Нет дефолта
3;19500;12;24;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;27000;Другое;Билайн;Не клиент банка;Нет дефолта
3;22000;6;32;ЛОЖЬ;Мужской;Среднее;Бытовая техника;Дети есть;Другие регионы;26000;Другое;Билайн;Не клиент банка;Нет дефолта
3;16000;15;38;ЛОЖЬ;Женский;Высшее;Автомобильные товары;Дети есть;Другие регионы;51000;Другое;МТС;Не клиент банка;Нет дефолта
3;15500;12;31;ЛОЖЬ;Мужской;Неоконченное высшее;Мобильные телефоны;Дети есть;Другие регионы;21000;Другое;МТС;Клиент банка;Нет дефолта
3;95500;36;45;ИСТИНА;Мужской;Среднее специальное;Одежда, изделия из меха и кожи;Дети есть;Другие регионы;26000;Женат/замужем;Теле2;Клиент банка;Нет дефолта
3;24000;12;23;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;26000;Женат/замужем;МТС;Клиент банка;Нет дефолта
3;31500;12;29;ЛОЖЬ;Женский;Среднее специальное;Компьютеры, комплектующие;Дети есть;Другие регионы;31000;Другое;МТС;Не клиент банка;Нет дефолта
3;44000;12;41;ИСТИНА;Женский;Среднее специальное;Компьютеры, комплектующие;Дети есть;Другие регионы;81000;Женат/замужем;МТС;Клиент банка;Нет дефолта
3;8000;12;39;ЛОЖЬ;Женский;Среднее;Мобильные телефоны;Детей нет;Другие регионы;36000;Другое;Теле2;Клиент банка;Нет дефолта
3;18000;6;34;ЛОЖЬ;Мужской;Среднее специальное;Мебель;Дети есть;Другие регионы;21000;Другое;МТС;Не клиент банка;Нет дефолта
3;59000;24;40;ИСТИНА;Женский;Высшее;Компьютеры, комплектующие;Дети есть;Другие регионы;81000;Никогда не был(а) женат/замужем;Теле2;Не клиент банка;Нет дефолта
3;16000;12;20;ЛОЖЬ;Женский;Среднее;Мобильные телефоны;Детей нет;Другие регионы;14000;Женат/замужем;Мегафон;Клиент банка;Дефолт
3;15000;15;45;ЛОЖЬ;Мужской;Высшее;Медицинские услуги;Дети есть;Другие регионы;31000;Женат/замужем;Билайн;Не клиент банка;Дефолт
3;10500;9;45;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;36000;Другое;МТС;Не клиент банка;Нет дефолта
3;11500;10;32;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;26000;Другое;МТС;Не клиент банка;Нет дефолта
3;22500;10;30;ЛОЖЬ;Мужской;Неоконченное высшее;Мебель;Дети есть;Другие регионы;16000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
4;73000;18;37;ИСТИНА;Мужской;Высшее;Косметика и косметические услуги;Детей нет;Санкт-Петербург или ЛО;41000;Другое;Мегафон;Клиент банка;Нет дефолта
3;24500;12;56;ЛОЖЬ;Мужской;Среднее;Мобильные телефоны;Детей нет;Другие регионы;36000;Женат/замужем;Мегафон;Не клиент банка;Дефолт
3;73000;24;48;ИСТИНА;Мужской;Высшее;Косметика и косметические услуги;Детей нет;Москва или МО;93000;Никогда не был(а) женат/замужем;МТС;Клиент банка;Нет дефолта
3;50000;18;26;ИСТИНА;Женский;Высшее;Аудио, Видео, Фото;Детей нет;Санкт-Петербург или ЛО;71000;Женат/замужем;Билайн;Клиент банка;Нет дефолта
3;8500;12;26;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;26000;Другое;МТС;Клиент банка;Дефолт
3;176000;36;87;ИСТИНА;Мужской;Высшее;Детские товары (игрушки, детская одежда, детская мебель);Детей нет;Другие регионы;26000;Никогда не был(а) женат/замужем;МТС;Клиент банка;Нет дефолта
4;37500;4;37;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;34000;Другое;Теле2;Клиент банка;Нет дефолта
4;119000;8;28;ИСТИНА;Мужской;Высшее;Мебель;Детей нет;Москва или МО;69000;Другое;Билайн;Не клиент банка;Нет дефолта
4;22000;12;28;ЛОЖЬ;Женский;Неоконченное высшее;Бытовая техника;Дети есть;Другие регионы;26000;Другое;Билайн;Не клиент банка;Нет дефолта
3;5000;12;38;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;31000;Другое;Билайн;Не клиент банка;Нет дефолта
3;30500;4;28;ЛОЖЬ;Женский;Высшее;Фитнес;Дети есть;Другие регионы;61000;Другое;Мегафон;Не клиент банка;Нет дефолта
3;6000;4;48;ЛОЖЬ;Женский;Высшее;Мобильные телефоны;Дети есть;Другие регионы;29000;Женат/замужем;МТС;Не клиент банка;Нет дефолта
3;27500;12;30;ЛОЖЬ;Женский;Высшее;Бытовая техника;Детей нет;Москва или МО;21000;Другое;Мегафон;Не клиент банка;Нет дефолта
3;26500;4;27;ЛОЖЬ;Мужской;Высшее;Мобильные телефоны;Детей нет;Другие регионы;36000;Другое;Теле2;Не клиент банка;Нет дефолта
3;43500;12;53;ЛОЖЬ;Мужской;Высшее;Косметика и косметические услуги;Детей нет;Москва или МО;31000;Женат/замужем;МТС;Клиент банка;Нет дефолта
4;23000;12;21;ЛОЖЬ;Мужской;Среднее;Компьютеры, комплектующие;Детей нет;Другие регионы;19000;Другое;Мегафон;Клиент банка;Дефолт
4;85000;18;66;ИСТИНА;Мужской;Среднее специальное;Мебель;Дети есть;Другие регионы;19000;Другое;Билайн;Клиент банка;Нет дефолта
4;21000;10;28;ЛОЖЬ;Мужской;Высшее;Мобильные телефоны;Детей нет;Москва или МО;21000;Другое;Билайн;Клиент банка;Нет дефолта
4;25000;36;20;ИСТИНА;Мужской;Неоконченное высшее;Одежда, изделия из меха и кожи;Детей нет;Другие регионы;36000;Другое;Теле2;Не клиент банка;Нет дефолта
4;41000;15;54;ЛОЖЬ;Мужской;Среднее;Окна, двери;Детей нет;Другие регионы;15000;Другое;МТС;Не клиент банка;Нет дефолта
4;101000;12;52;ИСТИНА;Женский;Высшее;Туризм и отдых;Дети есть;Другие регионы;61000;Другое;МТС;Клиент банка;Нет дефолта
4;39000;18;29;ЛОЖЬ;Мужской;Высшее;Косметика и косметические услуги;Дети есть;Другие регионы;41000;Другое;МТС;Клиент банка;Нет дефолта
4;163000;24;60;ИСТИНА;Мужской;Среднее специальное;Строительные материалы и инструменты;Детей нет;Другие регионы;43000;Другое;Мегафон;Клиент банка;Дефолт
3;74000;24;57;ИСТИНА;Мужской;Высшее;Косметика и косметические услуги;Детей нет;Другие регионы;28000;Другое;МТС;Клиент банка;Нет дефолта
3;34000;12;18;ЛОЖЬ;Мужской;Среднее;Мобильные телефоны;Детей нет;Другие регионы;26000;Другое;Другой;Клиент банка;Дефолт
3;23500;6;53;ЛОЖЬ;Мужской;Высшее;Мебель;Детей нет;Другие регионы;26000;Другое;МТС;Клиент банка;Нет дефолта
3;32000;24;47;ИСТИНА;Мужской;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;33000;Никогда не был(а) женат/замужем;МТС;Клиент банка;Нет дефолта
4;15500;12;61;ЛОЖЬ;Мужской;Среднее;Окна, двери;Детей нет;Другие регионы;11000;Другое;Билайн;Клиент банка;Нет дефолта
4;17500;6;21;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;16000;Другое;МТС;Клиент банка;Нет дефолта
4;39500;12;22;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;26000;Другое;МТС;Клиент банка;Нет дефолта
4;151000;18;20;ИСТИНА;Мужской;Высшее;Медицинские услуги;Детей нет;Москва или МО;19000;Другое;Билайн;Клиент банка;Нет дефолта
4;15000;10;34;ЛОЖЬ;Мужской;Среднее специальное;Мебель;Детей нет;Другие регионы;19000;Другое;Мегафон;Не клиент банка;Нет дефолта
3;51000;24;31;ИСТИНА;Женский;Высшее;Строительные материалы и инструменты;Дети есть;Другие регионы;31000;Другое;МТС;Не клиент банка;Нет дефолта
3;17500;18;44;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;23000;Другое;МТС;Не клиент банка;Нет дефолта
3;13500;8;37;ЛОЖЬ;Мужской;Среднее;Бытовая техника;Дети есть;Москва или МО;31000;Другое;Билайн;Не клиент банка;Нет дефолта
3;21000;12;21;ЛОЖЬ;Женский;Среднее специальное;Фитнес;Детей нет;Другие регионы;21000;Никогда не был(а) женат/замужем;МТС;Клиент банка;Нет дефолта
4;57000;15;41;ЛОЖЬ;Женский;Высшее;Туризм и отдых;Дети есть;Другие регионы;56000;Никогда не был(а) женат/замужем;МТС;Клиент банка;Нет дефолта
4;24500;12;32;ЛОЖЬ;Мужской;Высшее;Мебель;Дети есть;Другие регионы;26000;Другое;Теле2;Не клиент банка;Нет дефолта
4;15500;6;26;ЛОЖЬ;Мужской;Неоконченное высшее;Ювелирные украшения;Дети есть;Москва или МО;61000;Женат/замужем;Мегафон;Клиент банка;Нет дефолта
4;56000;16;28;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;31000;Другое;Мегафон;Клиент банка;Дефолт
4;22500;6;55;ИСТИНА;Женский;Среднее специальное;Компьютеры, комплектующие;Дети есть;Другие регионы;71000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
4;31000;18;32;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;13000;Другое;Мегафон;Клиент банка;Дефолт
4;12500;10;24;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Москва или МО;26000;Другое;МТС;Клиент банка;Дефолт
4;93000;24;31;ИСТИНА;Мужской;Высшее;Бытовая техника;Детей нет;Другие регионы;36000;Другое;Билайн;Не клиент банка;Нет дефолта
4;7000;6;21;ЛОЖЬ;Мужской;Неоконченное высшее;Мобильные телефоны;Детей нет;Москва или МО;38000;Женат/замужем;Мегафон;Клиент банка;Нет дефолта
4;8000;4;29;ЛОЖЬ;Женский;Высшее;Музыка;Детей нет;Другие регионы;26000;Женат/замужем;Другой;Клиент банка;Нет дефолта
4;12500;6;43;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;21000;Другое;Мегафон;Клиент банка;Нет дефолта
4;25000;12;35;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;26000;Другое;Мегафон;Не клиент банка;Нет дефолта
4;29500;12;57;ЛОЖЬ;Мужской;Среднее специальное;Спортивные товары;Детей нет;Другие регионы;26000;Женат/замужем;Мегафон;Клиент банка;Нет дефолта
4;51000;18;30;ЛОЖЬ;Женский;Среднее;Бытовая техника;Детей нет;Другие регионы;39000;Другое;Теле2;Не клиент банка;Нет дефолта
4;27500;10;21;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;21000;Другое;МТС;Клиент банка;Нет дефолта
4;10500;10;56;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;10000;Другое;Мегафон;Клиент банка;Нет дефолта
4;21500;18;42;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;21000;Женат/замужем;Мегафон;Клиент банка;Нет дефолта
4;16500;6;20;ЛОЖЬ;Женский;Среднее специальное;Компьютеры, комплектующие;Детей нет;Другие регионы;31000;Женат/замужем;МТС;Не клиент банка;Нет дефолта
4;12000;12;26;ЛОЖЬ;Женский;Среднее;Мобильные телефоны;Детей нет;Другие регионы;14000;Женат/замужем;Билайн;Клиент банка;Нет дефолта
4;21000;24;30;ИСТИНА;Мужской;Высшее;Бытовая техника;Дети есть;Другие регионы;25000;Женат/замужем;Билайн;Клиент банка;Нет дефолта
4;5000;6;24;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;11000;Другое;Билайн;Клиент банка;Нет дефолта
4;20500;12;54;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;41000;Другое;МТС;Клиент банка;Нет дефолта
4;31000;12;50;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Дети есть;Москва или МО;48000;Другое;Мегафон;Клиент банка;Дефолт
4;17000;10;30;ЛОЖЬ;Мужской;Среднее специальное;Ювелирные украшения;Дети есть;Санкт-Петербург или ЛО;26000;Женат/замужем;Мегафон;Клиент банка;Нет дефолта
4;16000;10;32;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;26000;Другое;МТС;Не клиент банка;Нет дефолта
4;5000;3;55;ЛОЖЬ;Женский;Среднее специальное;Спортивные товары;Дети есть;Другие регионы;22000;Другое;Мегафон;Клиент банка;Нет дефолта
4;13500;12;34;ЛОЖЬ;Мужской;Высшее;Бытовая техника;Дети есть;Другие регионы;61000;Другое;Мегафон;Клиент банка;Нет дефолта
4;16500;6;26;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;26000;Другое;Теле2;Не клиент банка;Нет дефолта
4;20500;6;27;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;33000;Другое;Мегафон;Не клиент банка;Нет дефолта
4;49000;18;27;ИСТИНА;Женский;Высшее;Фитнес;Детей нет;Москва или МО;151000;Другое;Мегафон;Не клиент банка;Нет дефолта
4;24000;10;24;ЛОЖЬ;Женский;Среднее специальное;Компьютеры, комплектующие;Детей нет;Другие регионы;26000;Другое;Билайн;Клиент банка;Нет дефолта
4;30500;6;29;ЛОЖЬ;Мужской;Высшее;Мебель;Дети есть;Другие регионы;36000;Другое;Мегафон;Клиент банка;Нет дефолта
4;11000;6;43;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;26000;Другое;Мегафон;Клиент банка;Нет дефолта
4;8000;3;31;ЛОЖЬ;Мужской;Высшее;Мобильные телефоны;Дети есть;Другие регионы;29000;Другое;Мегафон;Клиент банка;Нет дефолта
4;17500;10;30;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;31000;Женат/замужем;Мегафон;Клиент банка;Нет дефолта
4;12000;6;23;ЛОЖЬ;Мужской;Высшее;Бытовая техника;Детей нет;Другие регионы;31000;Другое;Билайн;Не клиент банка;Нет дефолта
4;18000;12;22;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;10000;Женат/замужем;Другой;Клиент банка;Нет дефолта
4;26000;12;49;ЛОЖЬ;Мужской;Среднее специальное;Мебель;Детей нет;Другие регионы;18000;Женат/замужем;Мегафон;Клиент банка;Дефолт
4;20000;6;40;ЛОЖЬ;Женский;Высшее;Фитнес;Дети есть;Другие регионы;36000;Другое;Мегафон;Не клиент банка;Нет дефолта
4;39000;12;35;ЛОЖЬ;Мужской;Высшее;Мебель;Дети есть;Другие регионы;41000;Женат/замужем;МТС;Клиент банка;Нет дефолта
4;19000;12;27;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Москва или МО;31000;Женат/замужем;МТС;Не клиент банка;Нет дефолта
4;12500;12;24;ЛОЖЬ;Мужской;Неоконченное высшее;Бытовая техника;Детей нет;Другие регионы;22000;Другое;Билайн;Не клиент банка;Нет дефолта
4;24000;18;22;ЛОЖЬ;Мужской;Высшее;Мобильные телефоны;Детей нет;Другие регионы;18000;Другое;Мегафон;Не клиент банка;Нет дефолта
4;21500;12;56;ЛОЖЬ;Мужской;Среднее специальное;Строительные материалы и инструменты;Детей нет;Другие регионы;27000;Другое;МТС;Не клиент банка;Нет дефолта
4;5500;3;27;ЛОЖЬ;Мужской;Среднее специальное;Компьютеры, комплектующие;Дети есть;Другие регионы;17000;Другое;Мегафон;Клиент банка;Нет дефолта
4;103000;12;61;ИСТИНА;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;18000;Другое;Мегафон;Клиент банка;Нет дефолта
4;71000;12;48;ИСТИНА;Мужской;Среднее специальное;Строительные и ремонтные услуги;Детей нет;Другие регионы;37000;Другое;МТС;Не клиент банка;Нет дефолта
4;26000;6;34;ЛОЖЬ;Женский;Среднее специальное;Автомобильные товары;Детей нет;Другие регионы;36000;Никогда не был(а) женат/замужем;Билайн;Клиент банка;Дефолт
4;9500;12;43;ЛОЖЬ;Мужской;Высшее;Мобильные телефоны;Дети есть;Другие регионы;13000;Другое;Билайн;Не клиент банка;Нет дефолта
4;9500;12;22;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;19000;Другое;Мегафон;Не клиент банка;Нет дефолта
4;28500;12;38;ЛОЖЬ;Мужской;Высшее;Бытовая техника;Дети есть;Москва или МО;36000;Другое;Мегафон;Не клиент банка;Нет дефолта
4;28000;12;32;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Детей нет;Москва или МО;43000;Женат/замужем;Билайн;Клиент банка;Нет дефолта
4;22000;4;24;ЛОЖЬ;Женский;Среднее;Ювелирные украшения;Детей нет;Москва или МО;61000;Женат/замужем;Другой;Клиент банка;Дефолт
4;12000;12;40;ЛОЖЬ;Женский;Среднее;Компьютеры, комплектующие;Дети есть;Другие регионы;13000;Другое;Мегафон;Клиент банка;Нет дефолта
4;9000;6;24;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;16000;Женат/замужем;Мегафон;Клиент банка;Нет дефолта
4;8500;6;30;ЛОЖЬ;Женский;Среднее;Компьютеры, комплектующие;Детей нет;Другие регионы;26000;Другое;МТС;Клиент банка;Нет дефолта
4;36500;24;44;ИСТИНА;Мужской;Среднее специальное;Окна, двери;Дети есть;Москва или МО;26000;Женат/замужем;Теле2;Клиент банка;Нет дефолта
4;12000;6;47;ЛОЖЬ;Женский;Среднее;Мобильные телефоны;Детей нет;Другие регионы;31000;Другое;МТС;Клиент банка;Нет дефолта
4;12500;10;52;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Дети есть;Москва или МО;21000;Другое;МТС;Не клиент банка;Нет дефолта
4;23500;10;22;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;31000;Другое;Мегафон;Клиент банка;Нет дефолта
4;10000;4;48;ЛОЖЬ;Мужской;Среднее специальное;Строительные материалы и инструменты;Дети есть;Другие регионы;14000;Женат/замужем;Билайн;Не клиент банка;Нет дефолта
4;21000;3;31;ЛОЖЬ;Мужской;Высшее;Мебель;Дети есть;Другие регионы;26000;Другое;Мегафон;Не клиент банка;Нет дефолта
4;8500;4;56;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;2000;Другое;Мегафон;Не клиент банка;Нет дефолта
4;20000;6;23;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;36000;Женат/замужем;Мегафон;Клиент банка;Дефолт
4;14000;12;62;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;27000;Другое;Мегафон;Клиент банка;Нет дефолта
4;14000;12;46;ЛОЖЬ;Женский;Высшее;Мобильные телефоны;Дети есть;Другие регионы;26000;Другое;Билайн;Клиент банка;Нет дефолта
4;9000;6;31;ЛОЖЬ;Женский;Высшее;Компьютеры, комплектующие;Детей нет;Другие регионы;19000;Другое;МТС;Не клиент банка;Нет дефолта
4;32500;24;26;ИСТИНА;Женский;Неоконченное высшее;Бытовая техника;Детей нет;Москва или МО;121000;Другое;Мегафон;Не клиент банка;Нет дефолта
4;15000;12;25;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;28000;Женат/замужем;МТС;Клиент банка;Дефолт
4;30000;24;41;ИСТИНА;Женский;Высшее;Бытовая техника;Дети есть;Другие регионы;81000;Другое;Билайн;Не клиент банка;Нет дефолта
4;9000;4;25;ЛОЖЬ;Мужской;Высшее;Мобильные телефоны;Дети есть;Другие регионы;26000;Другое;Билайн;Не клиент банка;Нет дефолта
4;30500;6;36;ИСТИНА;Мужской;Высшее;Мебель;Детей нет;Москва или МО;101000;Женат/замужем;МТС;Не клиент банка;Нет дефолта
4;76500;24;33;ИСТИНА;Мужской;Среднее специальное;Мебель;Дети есть;Москва или МО;61000;Другое;МТС;Клиент банка;Нет дефолта
4;12500;3;63;ЛОЖЬ;Мужской;Среднее специальное;Одежда, изделия из меха и кожи;Дети есть;Другие регионы;18000;Женат/замужем;МТС;Клиент банка;Нет дефолта
4;25500;20;76;ИСТИНА;Мужской;Высшее;Медицинские услуги;Детей нет;Другие регионы;14000;Другое;МТС;Клиент банка;Нет дефолта
4;9500;4;29;ЛОЖЬ;Мужской;Высшее;Мобильные телефоны;Дети есть;Другие регионы;26000;Другое;МТС;Клиент банка;Нет дефолта
4;15000;12;30;ИСТИНА;Женский;Высшее;Мобильные телефоны;Детей нет;Москва или МО;81000;Другое;МТС;Не клиент банка;Нет дефолта
4;10000;3;37;ЛОЖЬ;Женский;Среднее специальное;Компьютеры, комплектующие;Дети есть;Другие регионы;41000;Другое;Мегафон;Не клиент банка;Нет дефолта
4;22500;10;35;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;16000;Другое;Билайн;Клиент банка;Нет дефолта
4;23000;12;24;ИСТИНА;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;71000;Другое;Билайн;Клиент банка;Нет дефолта
4;15000;10;65;ЛОЖЬ;Мужской;Среднее специальное;Ювелирные украшения;Детей нет;Другие регионы;11000;Женат/замужем;Билайн;Не клиент банка;Нет дефолта
4;34500;12;26;ИСТИНА;Мужской;Среднее специальное;Мебель;Дети есть;Другие регионы;76000;Женат/замужем;Мегафон;Не клиент банка;Нет дефолта
4;14000;12;40;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;18000;Другое;Другой;Не клиент банка;Нет дефолта
4;9500;3;32;ЛОЖЬ;Мужской;Высшее;Бытовая техника;Дети есть;Другие регионы;36000;Другое;МТС;Клиент банка;Нет дефолта
4;27500;10;21;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;22000;Никогда не был(а) женат/замужем;Теле2;Клиент банка;Нет дефолта
4;25000;12;64;ЛОЖЬ;Женский;Среднее специальное;Бытовая техника;Дети есть;Другие регионы;21000;Другое;МТС;Клиент банка;Нет дефолта
5;13000;7;29;ЛОЖЬ;Мужской;Среднее специальное;Бытовая техника;Детей нет;Другие регионы;16000;Другое;Билайн;Клиент банка;Нет дефолта
5;23000;12;30;ЛОЖЬ;Женский;Среднее специальное;Компьютеры, комплектующие;Детей нет;Другие регионы;34000;Другое;Мегафон;Клиент банка;Нет дефолта
4;11000;12;41;ЛОЖЬ;Женский;Высшее;Бытовая техника;Дети есть;Другие регионы;21000;Другое;Мегафон;Не клиент банка;Нет дефолта
4;9500;3;75;ИСТИНА;Мужской;Среднее;Мебель;Детей нет;Другие регионы;23000;Другое;Теле2;Клиент банка;Нет дефолта
4;63500;15;23;ЛОЖЬ;Мужской;Среднее специальное;Туризм и отдых;Детей нет;Москва или МО;34000;Другое;МТС;Не клиент банка;Нет дефолта
5;9500;6;20;ЛОЖЬ;Мужской;Среднее специальное;Мобильные телефоны;Детей нет;Санкт-Петербург или ЛО;21000;Другое;Мегафон;Клиент банка;Нет дефолта
5;45000;12;60;ЛОЖЬ;Мужской;Высшее;Бытовая техника;Детей нет;Другие регионы;13000;Другое;Билайн;Клиент банка;Нет дефолта
4;7000;4;28;ЛОЖЬ;Женский;Неоконченное высшее;Ювелирные украшения;Дети есть;Другие регионы;24000;Другое;Мегафон;Клиент банка;Нет дефолта
4;29000;12;23;ЛОЖЬ;Женский;Среднее специальное;Компьютеры, комплектующие;Детей нет;Другие регионы;41000;Никогда не был(а) женат/замужем;Мегафон;Клиент банка;Нет дефолта
5;21000;12;22;ЛОЖЬ;Женский;Среднее;Мобильные телефоны;Детей нет;Другие регионы;61000;Другое;Мегафон;Клиент банка;Нет дефолта
5;20000;6;52;ЛОЖЬ;Женский;Среднее специальное;Садовая техника;Дети есть;Другие регионы;41000;Женат/замужем;МТС;Клиент банка;Нет дефолта
5;18000;12;53;ЛОЖЬ;Мужской;Среднее специальное;Мебель;Дети есть;Москва или МО;31000;Другое;Другой;Клиент банка;Нет дефолта
5;36000;18;33;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Дети есть;Другие регионы;21000;Женат/замужем;Теле2;Клиент банка;Нет дефолта
5;13000;10;23;ЛОЖЬ;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Другие регионы;26000;Другое;Мегафон;Не клиент банка;Нет дефолта
5;68500;24;52;ИСТИНА;Мужской;Высшее;Косметика и косметические услуги;Детей нет;Москва или МО;31000;Другое;МТС;Клиент банка;Нет дефолта
4;21000;12;23;ИСТИНА;Женский;Среднее специальное;Мобильные телефоны;Детей нет;Москва или МО;81000;Женат/замужем;Мегафон;Клиент банка;Нет дефолта
4;15000;6;24;ЛОЖЬ;Мужской;Высшее;Мототехника (лодки, мото);Детей нет;Другие регионы;31000;Другое;Мегафон;Клиент банка;Нет дефолта
4;13000;6;50;ЛОЖЬ;Мужской;Среднее специальное;Компьютеры, комплектующие;Дети есть;Другие регионы;19000;Другое;Теле2;Не клиент банка;Нет дефолта
