year;region;salary
2009;Кабардино-Балкария;10049.0
2009;Калининградская область;16910.0
2009;Калмыкия;9823.0
2009;Калужская область;15031.0
2009;Камчатский край;31893.0
2009;Карачаево-Черкесия;9722.0
2009;Карелия;17764.0
2009;Кемеровская область;16460.0
2009;Кировская область;11787.0
2009;Костромская область;12217.0
2009;Краснодарский край;14137.0
2009;Красноярский край;20253.0
2009;Курганская область;11870.0
2009;Курская область;12126.0
2009;Ленинградская область;18466.0
2009;Липецкая область;13217.0
2009;Магаданская область;27077.0
2009;Марий Эл;10895.0
2009;Мордовия;10446.0
2009;Москва;36672.0
2009;Московская область;23339.0
2009;Мурманская область;26032.0
2009;Ненецкий автономный округ;41626.0
2009;Нижегородская область;14466.0
2009;Новгородская область;14148.0
2009;Новосибирская область;16657.0
2009;Омская область;13292.0
2009;Оренбургская область;12632.0
2009;Орловская область;11148.0
2009;Пензенская область;11196.0
2009;Пермский край;15079.0
2009;Приморский край;18754.0
2009;Псковская область;11710.0
2009;Республика Алтай;11842.0
2009;Республика Коми;22984.0
2009;Республика Тыва;14559.0
2009;Ростовская область;13464.0
2009;Рязанская область;12914.0
2009;Самарская область;15121.0
2009;Санкт-Петербург;24411.0
2009;Саратовская область;12211.0
2009;Сахалинская область;33522.0
2009;Свердловская область;17646.0
2009;Северная Осетия;10401.0
2009;Смоленская область;12535.0
2009;Ставропольский край;11915.0
2009;Тамбовская область;10874.0
2009;Татарстан;13481.0
2009;Тверская область;13573.0
2009;Томская область;19129.0
2009;Тульская область;13978.0
2009;Тюменская область;19300.0
2009;Удмуртия;12761.0
2009;Ульяновская область;11809.0
2009;Хабаровский край;21062.0
2009;Хакасия;15291.0
2009;Ханты-Мансийский автономный округ;35393.0
2009;Челябинская область;14493.0
2009;Чувашия;11047.0
2009;Чукотский автономный округ;36270.0
2009;Якутия;24987.0
2009;Ямало-Ненецкий автономный округ;42565.0
2009;Ярославская область;14445.0
2011;Адыгея;13020.0
2011;Алтайский край;13183.0
2011;Амурская область;23070.0
2011;Архангельская область;22156.0
