year;region;ec_crime_per
2010;Кемеровская область;11.09
2010;Кировская область;13.17
2010;Костромская область;23.95
2010;Краснодарский край;11.71
2010;Красноярский край;13.78
2010;Крым;
2010;Курганская область;17.71
2010;Курская область;19.12
2010;Ленинградская область;19.65
2010;Липецкая область;17.61
2010;Магаданская область;29.87
2010;Марий Эл;15.1
2010;Мордовия;27.5
2010;Москва;12.93
2010;Московская область;23.23
2010;Мурманская область;14.83
2010;Ненецкий автономный округ;18.05
2010;Нижегородская область;29.45
2010;Новгородская область;23.86
2010;Новосибирская область;35.01
2010;Омская область;22.57
2010;Оренбургская область;12.7
2010;Орловская область;28.1
2010;Пензенская область;15.1
2010;Пермский край;13.26
2010;Приморский край;14.51
2010;Псковская область;16.38
2010;Республика Алтай;16.55
2010;Республика Коми;17.04
2010;Республика Тыва;12.56
2010;Ростовская область;15.74
2010;Рязанская область;17.44
2010;Самарская область;13.83
2010;Санкт-Петербург;14.55
2010;Саратовская область;13.5
2010;Сахалинская область;30.4
2010;Свердловская область;17.66
2010;Севастополь;
2010;Северная Осетия;18.57
2010;Смоленская область;35.18
2010;Ставропольский край;18.19
2010;Тамбовская область;16.86
2010;Татарстан;12.74
2010;Тверская область;20.09
2010;Томская область;13.58
2010;Тульская область;16.89
2010;Тюменская область;27.23
2010;Удмуртия;18.54
2010;Ульяновская область;13.64
2010;Хабаровский край;13.45
2010;Хакасия;10.57
2010;Ханты-Мансийский автономный округ;22.15
2010;Челябинская область;25.35
2010;Чечня;5.48
2010;Чувашия;22.3
2010;Чукотский автономный округ;23.25
2010;Якутия;23.65
2010;Ямало-Ненецкий автономный округ;25.15
2010;Ярославская область;13.22
2011;Адыгея;11.91
2011;Алтайский край;10.05
2011;Амурская область;5.18
2011;Архангельская область;11.36
2011;Астраханская область;19.87
2011;Башкортостан;16.85
2011;Белгородская область;13.08
2011;Брянская область;14.42
2011;Бурятия;7.77
2011;Владимирская область;16.79
2011;Волгоградская область;17.09
2011;Вологодская область;12.76
2011;Воронежская область;11.97
2011;Дагестан;6.66
2011;Еврейская автономная область;11.57
2011;Забайкальский край;13.44
2011;Ивановская область;15.38
2011;Ингушетия;10.3
2011;Иркутская область;7.93
2011;Кабардино-Балкария;10.47
2011;Калининградская область;10.48
2011;Калмыкия;16.03
2011;Калужская область;18.99
2011;Камчатский край;15.08
2011;Карачаево-Черкесия;17.39
2011;Карелия;18.5
2011;Кемеровская область;8.07
2011;Кировская область;11.45
2011;Костромская область;22.78
2011;Краснодарский край;10.5
2011;Красноярский край;8.66
2011;Крым;
2011;Курганская область;16.28
2011;Курская область;13.87
2011;Ленинградская область;15.24
