year;region;crime_per
2011;Кировская область;151.44
2011;Костромская область;138.93
2011;Краснодарский край;126.87
2011;Красноярский край;222.99
2011;Крым;
2011;Курганская область;237.51
2011;Курская область;150.17
2011;Ленинградская область;143.52
2011;Липецкая область;131.19
2011;Магаданская область;205.71
2011;Марий Эл;155.89
2011;Мордовия;93.21
2011;Москва;147.43
2011;Московская область;165.73
2011;Мурманская область;201.11
2011;Ненецкий автономный округ;183.36
2011;Нижегородская область;198.37
2011;Новгородская область;176.88
2011;Новосибирская область;212.04
2011;Омская область;151.05
2011;Оренбургская область;152.75
2011;Орловская область;160.57
2011;Пензенская область;108.16
2011;Пермский край;221.73
2011;Приморский край;233.61
2011;Псковская область;168.35
2011;Республика Алтай;238.27
2011;Республика Коми;191.8
2011;Республика Тыва;180.25
2011;Ростовская область;131.65
2011;Рязанская область;84.35
2011;Самарская область;194.21
2011;Санкт-Петербург;121.07
2011;Саратовская область;129.96
2011;Сахалинская область;201.84
2011;Свердловская область;179.99
2011;Севастополь;
2011;Северная Осетия;92.89
2011;Смоленская область;185.37
2011;Ставропольский край;124.59
2011;Тамбовская область;124.33
2011;Татарстан;146.05
2011;Тверская область;214.33
2011;Томская область;217.51
2011;Тульская область;94.7
2011;Тюменская область;261.55
2011;Удмуртия;183.93
2011;Ульяновская область;128.43
2011;Хабаровский край;204.72
2011;Хакасия;202.88
2011;Ханты-Мансийский автономный округ;202.66
2011;Челябинская область;221.69
2011;Чечня;33.36
2011;Чувашия;143.86
2011;Чукотский автономный округ;144.6
2011;Якутия;157.56
2011;Ямало-Ненецкий автономный округ;178.98
2011;Ярославская область;145.42
2012;Адыгея;92.12
2012;Алтайский край;174.9
2012;Амурская область;217.92
2012;Архангельская область;190.97
2012;Астраханская область;204.36
2012;Башкортостан;160.96
2012;Белгородская область;96.92
2012;Брянская область;148.16
2012;Бурятия;241.99
2012;Владимирская область;151.91
2012;Волгоградская область;150.85
2012;Вологодская область;198.79
2012;Воронежская область;118.73
2012;Дагестан;46.57
2012;Еврейская автономная область;217.36
2012;Забайкальский край;284.58
2012;Ивановская область;151.32
2012;Ингушетия;41.58
2012;Иркутская область;247.94
2012;Кабардино-Балкария;102.41
