year;region;unsolved
2011;Кировская область;35.76
2011;Костромская область;25.05
2011;Краснодарский край;42.32
2011;Красноярский край;42.12
2011;Крым;
2011;Курганская область;40.19
2011;Курская область;38.76
2011;Ленинградская область;48.65
2011;Липецкая область;45.47
2011;Магаданская область;36.89
2011;Марий Эл;36.52
2011;Мордовия;18.68
2011;Москва;72.14
2011;Московская область;47.91
2011;Мурманская область;41.86
2011;Ненецкий автономный округ;40.54
2011;Нижегородская область;52.15
2011;Новгородская область;35.44
2011;Новосибирская область;46.5
2011;Омская область;31.45
2011;Оренбургская область;40.62
2011;Орловская область;36.32
2011;Пензенская область;35.27
2011;Пермский край;43.16
2011;Приморский край;54.15
2011;Псковская область;47.79
2011;Республика Алтай;24.08
2011;Республика Коми;27.31
2011;Республика Тыва;26.11
2011;Ростовская область;48.02
2011;Рязанская область;44.51
2011;Самарская область;51.72
2011;Санкт-Петербург;49.92
2011;Саратовская область;42.7
2011;Сахалинская область;39.61
2011;Свердловская область;40.53
2011;Севастополь;
2011;Северная Осетия;26.04
2011;Смоленская область;37.99
2011;Ставропольский край;38.03
2011;Тамбовская область;30.55
2011;Татарстан;47.11
2011;Тверская область;59.18
2011;Томская область;48.86
2011;Тульская область;28.64
2011;Тюменская область;48.32
2011;Удмуртия;38.15
2011;Ульяновская область;36.14
2011;Хабаровский край;50.15
2011;Хакасия;33.76
2011;Ханты-Мансийский автономный округ;47.01
2011;Челябинская область;41.13
2011;Чечня;18.97
2011;Чувашия;30.72
2011;Чукотский автономный округ;23.9
2011;Якутия;42.0
2011;Ямало-Ненецкий автономный округ;40.23
2011;Ярославская область;47.62
2012;Адыгея;22.91
2012;Алтайский край;34.05
2012;Амурская область;39.2
2012;Архангельская область;43.14
2012;Астраханская область;32.21
2012;Башкортостан;33.83
2012;Белгородская область;41.05
2012;Брянская область;32.15
2012;Бурятия;43.54
2012;Владимирская область;42.64
2012;Волгоградская область;42.08
2012;Вологодская область;42.62
2012;Воронежская область;47.18
2012;Дагестан;21.02
2012;Еврейская автономная область;50.62
2012;Забайкальский край;46.04
2012;Ивановская область;44.09
2012;Ингушетия;31.45
2012;Иркутская область;54.84
2012;Кабардино-Балкария;39.12
2012;Калининградская область;47.92
2012;Калмыкия;32.83
2012;Калужская область;44.75
2012;Камчатский край;32.75
2012;Карачаево-Черкесия;25.41
2012;Карелия;35.39
2012;Кемеровская область;44.17
2012;Кировская область;38.85
2012;Костромская область;25.42
2012;Краснодарский край;41.6
2012;Красноярский край;40.86
2012;Крым;
2012;Курганская область;39.95
2012;Курская область;38.08
2012;Ленинградская область;40.73
2012;Липецкая область;34.63
2012;Магаданская область;33.18
2012;Марий Эл;39.4
2012;Мордовия;21.56
2012;Москва;72.63
2012;Московская область;48.45
2012;Мурманская область;38.83
2012;Ненецкий автономный округ;32.06
2012;Нижегородская область;38.65
2012;Новгородская область;38.01
2012;Новосибирская область;47.47
2012;Омская область;32.93
2012;Оренбургская область;40.21
2012;Орловская область;44.58
2012;Пензенская область;32.28
2012;Пермский край;44.55
2012;Приморский край;56.86
2012;Псковская область;46.0
2012;Республика Алтай;24.44
2012;Республика Коми;24.94
2012;Республика Тыва;24.2
2012;Ростовская область;47.31
2012;Рязанская область;46.59
2012;Самарская область;49.35
2012;Санкт-Петербург;49.96
2012;Саратовская область;35.92
2012;Сахалинская область;33.32
2012;Свердловская область;44.1
2012;Севастополь;
2012;Северная Осетия;23.39
2012;Смоленская область;36.09
2012;Ставропольский край;35.89
2012;Тамбовская область;28.66
2012;Татарстан;51.46
2012;Тверская область;59.86
2012;Томская область;48.1
2012;Тульская область;30.14
2012;Тюменская область;44.15
2012;Удмуртия;37.03
2012;Ульяновская область;35.55
2012;Хабаровский край;45.09
2012;Хакасия;33.08
2012;Ханты-Мансийский автономный округ;41.42
2012;Челябинская область;40.59
2012;Чечня;12.66
2012;Чувашия;27.23
2012;Чукотский автономный округ;30.27
2012;Якутия;36.57
2012;Ямало-Ненецкий автономный округ;38.68
2012;Ярославская область;41.29
2013;Адыгея;21.23
2013;Алтайский край;34.29
2013;Амурская область;35.82
2013;Архангельская область;43.94
2013;Астраханская область;32.75
2013;Башкортостан;36.38
2013;Белгородская область;43.09
2013;Брянская область;33.94
2013;Бурятия;39.5
2013;Владимирская область;31.64
2013;Волгоградская область;42.55
2013;Вологодская область;39.27
2013;Воронежская область;52.19
2013;Дагестан;20.83
2013;Еврейская автономная область;47.53
2013;Забайкальский край;48.29
2013;Ивановская область;46.66
2013;Ингушетия;34.71
2013;Иркутская область;54.82
2013;Кабардино-Балкария;37.86
2013;Калининградская область;47.51
2013;Калмыкия;31.07
2013;Калужская область;46.32
2013;Камчатский край;28.4
2013;Карачаево-Черкесия;24.02
2013;Карелия;37.14
2013;Кемеровская область;40.88
2013;Кировская область;32.7
2013;Костромская область;24.22
2013;Краснодарский край;42.99
2013;Красноярский край;41.89
2013;Крым;
2013;Курганская область;37.38
2013;Курская область;30.66
2013;Ленинградская область;37.86
2013;Липецкая область;34.16
2013;Магаданская область;36.12
2013;Марий Эл;40.73
2013;Мордовия;26.83
2013;Москва;67.52
2013;Московская область;49.05
2013;Мурманская область;36.0
2013;Ненецкий автономный округ;28.96
2013;Нижегородская область;37.29
2013;Новгородская область;37.93
2013;Новосибирская область;47.9
2013;Омская область;34.04
2013;Оренбургская область;39.87
2013;Орловская область;42.95
2013;Пензенская область;30.79
2013;Пермский край;41.59
2013;Приморский край;58.71
2013;Псковская область;41.72
2013;Республика Алтай;27.11
2013;Республика Коми;32.92
2013;Республика Тыва;32.49
2013;Ростовская область;47.41
2013;Рязанская область;31.54
2013;Самарская область;47.06
2013;Санкт-Петербург;48.32
2013;Саратовская область;36.22
2013;Сахалинская область;40.55
2013;Свердловская область;43.53
2013;Севастополь;
2013;Северная Осетия;17.46
2013;Смоленская область;33.52
2013;Ставропольский край;34.86
2013;Тамбовская область;28.77
2013;Татарстан;45.3
2013;Тверская область;45.57
2013;Томская область;46.57
2013;Тульская область;30.37
2013;Тюменская область;47.76
2013;Удмуртия;35.58
2013;Ульяновская область;36.95
2013;Хабаровский край;44.5
2013;Хакасия;32.51
2013;Ханты-Мансийский автономный округ;38.49
2013;Челябинская область;38.26
2013;Чечня;16.78
2013;Чувашия;27.37
2013;Чукотский автономный округ;24.94
2013;Якутия;30.38
2013;Ямало-Ненецкий автономный округ;43.74
2013;Ярославская область;39.22
2014;Адыгея;23.39
2014;Алтайский край;37.58
2014;Амурская область;37.29
2014;Архангельская область;36.63
2014;Астраханская область;28.86
2014;Башкортостан;36.67
2014;Белгородская область;41.56
2014;Брянская область;37.57
2014;Бурятия;39.85
2014;Владимирская область;32.46
2014;Волгоградская область;42.27
2014;Вологодская область;39.19
2014;Воронежская область;62.06
2014;Дагестан;19.98
2014;Еврейская автономная область;39.71
2014;Забайкальский край;49.88
2014;Ивановская область;39.65
2014;Ингушетия;31.12
2014;Иркутская область;50.14
2014;Кабардино-Балкария;36.75
2014;Калининградская область;43.32
2014;Калмыкия;31.16
2014;Калужская область;43.44
2014;Камчатский край;28.1
2014;Карачаево-Черкесия;22.68
2014;Карелия;40.47
2014;Кемеровская область;41.82
2014;Кировская область;34.84
2014;Костромская область;26.83
2014;Краснодарский край;45.0
2014;Красноярский край;41.16
2014;Крым;124.67
2014;Курганская область;42.21
2014;Курская область;28.49
2014;Ленинградская область;38.58
2014;Липецкая область;31.65
2014;Магаданская область;39.61
2014;Марий Эл;39.1
2014;Мордовия;30.16
2014;Москва;70.04
2014;Московская область;46.7
2014;Мурманская область;37.05
2014;Ненецкий автономный округ;28.24
2014;Нижегородская область;41.4
